"TOA5","Coopevega","CR200X","18977","CR200X.Std.04","CVG15062021.CR2","54234","Horarios"
"TIMESTAMP","RECORD","ESTACION","TEMP_C_Avg","RH_Avg","LLUV_mm_Tot","VOLT_BAT_Max","VOLT_BAT_Min","RH_caja_Max","muestreoScan_Tot","Td_Avg","es_Avg","TEMP_C_Std","RH_Std"
"TS","RN","","Deg C","%","mm","Volts","Volts","%","","Deg C","hPa","Deg C","%"
"","","Smp","Avg","Avg","Tot","Max","Min","Max","Tot","Avg","Avg","Std","Std"
"2022-07-10 15:00:00",9358,69739,24.29175,98.51981,0.4,13.22536,13.02809,11.55221,1200,23.98667,30.3782,0.23246,0.3755019
"2022-07-10 16:00:00",9359,69739,24.53309,97.30565,0,13.20269,13.09944,10.58304,1200,24.01969,30.81783,0.0864897,1.18086
"2022-07-10 17:00:00",9360,69739,24.58284,95.50978,0,13.2178,13.00878,10.83181,1200,23.75998,30.90961,0.0944614,0.6608254
"2022-07-10 18:00:00",9361,69739,24.28131,96.75308,0,13.06083,12.83082,11.12486,1200,23.6753,30.35731,0.1172758,0.5354253
"2022-07-10 19:00:00",9362,69739,23.87666,99.07256,0,12.88706,12.76703,11.00733,1200,23.66556,29.62999,0.1679382,0.5546846
"2022-07-10 20:00:00",9363,69739,23.67532,99.61916,0,12.85433,12.75527,10.9356,1200,23.55622,29.27243,0.07454957,0.2553038
"2022-07-10 21:00:00",9364,69739,23.49511,98.85911,0,12.82998,12.72589,10.99665,1200,23.24943,28.95659,0.09076224,0.3416577
"2022-07-10 22:00:00",9365,69739,23.32288,99.23033,0,12.81739,12.71582,11.10501,1200,23.13964,28.658,0.1407671,0.2752848
"2022-07-10 23:00:00",9366,69739,23.01431,99.8502,0,12.80144,12.70575,11.25001,1200,22.93462,28.12817,0.06986902,0.1527389
"2022-07-11 00:00:00",9367,69739,22.84673,99.59222,0.8,12.78717,12.67972,11.43774,1200,22.7245,27.84461,0.1107574,0.1895399
"2022-07-11 01:00:00",9368,69739,22.63266,99.90167,0,12.77458,12.65958,11.43163,1200,22.5619,27.48548,0.07565127,0.06574678
"2022-07-11 02:00:00",9369,69739,22.44677,99.90694,0,12.75779,12.65454,11.42858,1200,22.37711,27.17747,0.1223867,0.06346044
"2022-07-11 03:00:00",9370,69739,22.15361,99.90484,0,12.73093,12.62936,11.36142,1200,22.08395,26.69686,0.07657731,0.06534798
"2022-07-11 04:00:00",9371,69739,22.2678,99.90388,0,12.71498,12.61509,11.41637,1200,22.19783,26.88313,0.09200326,0.06660841
"2022-07-11 05:00:00",9372,69739,22.33242,99.90334,0,12.70323,12.60082,11.55678,1200,22.26232,26.98885,0.06976596,0.0662092
