"TOA5","Coopevega","CR200X","18977","CR200X.Std.04","CVG15062021.CR2","54234","Diarios"
"TIMESTAMP","RECORD","ESTACION","TEMP_C_Max","TEMP_C_TMx","RH_Max","RH_TMx","TEMP_C_Min","TEMP_C_TMn","RH_Min","RH_TMn","Acum5_Max","Acum10_Max","Acum15_Max","Acum30_Max","LLUV_mm_Tot","Acum60_Max","Acum120_Max"
"TS","RN","","Deg C","Deg C","%","%","Deg C","Deg C","%","%","mm","mm","mm","mm","mm","mm","mm"
"","","Smp","Max","TMx","Max","TMx","Min","TMn","Min","TMn","Max","Max","Max","Max","Tot","Max","Max"
"2022-09-11 07:00:00",452,69739,30.83643,"2022-09-10 13:22:39",100,"2022-09-10 07:00:36",21.38893,"2022-09-11 05:34:45",63.04186,"2022-09-10 13:39:15",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"2022-09-12 07:00:00",453,69739,30.90359,"2022-09-11 12:15:54",100,"2022-09-11 07:00:12",21.47134,"2022-09-12 05:19:06",64.04156,"2022-09-11 12:51:42",0,0,0,0,0,0,0
"2022-09-13 07:00:00",454,69739,30.72501,"2022-09-12 12:16:30",100,"2022-09-12 07:00:03",21.5324,"2022-09-13 03:34:33",63.90876,"2022-09-12 12:52:39",7.2,11.4,14.8,25.60001,30.00003,27.2,27.4
"2022-09-14 07:00:00",455,69739,30.86848,"2022-09-13 12:36:57",100,"2022-09-13 19:09:39",20.61817,"2022-09-14 05:30:24",64.10566,"2022-09-13 12:38:30",0.6,0.8,1.4,2,5,2.6,3.4
"2022-09-15 07:00:00",456,69739,31.04552,"2022-09-14 13:40:12",100,"2022-09-14 19:56:12",21.06384,"2022-09-15 06:41:54",58.7943,"2022-09-14 12:43:30",0.4,0.4,0.6,0.6,1.8,0.8,1.4
"2022-09-16 07:00:00",457,69739,31.51562,"2022-09-15 13:36:51",100,"2022-09-15 07:00:03",21.09741,"2022-09-16 02:00:09",56.82085,"2022-09-15 12:33:33",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"2022-09-17 07:00:00",458,69739,31.90481,"2022-09-16 11:49:45",100,"2022-09-17 00:02:06",21.29125,"2022-09-17 05:33:15",58.37916,"2022-09-16 11:49:15",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"2022-09-18 07:00:00",459,69739,30.67159,"2022-09-17 14:58:15",100,"2022-09-17 07:00:45",21.07147,"2022-09-18 04:39:48",59.26439,"2022-09-17 15:04:12",2.8,4.2,5.4,7,28.60003,10.2,17.6
"2022-09-19 07:00:00",460,69739,28.91183,"2022-09-18 14:39:36",100,"2022-09-18 07:05:00",21.20578,"2022-09-19 04:35:42",66.41335,"2022-09-18 14:34:30",0.6,0.8,1,1.8,3.200001,2.6,3.200001
"2022-09-20 07:00:00",461,69739,31.58582,"2022-09-19 15:51:36",100,"2022-09-19 07:00:36",21.00736,"2022-09-20 04:05:51",56.64533,"2022-09-19 14:56:27",5,6.4,7.599999,10.6,29.40004,16.8,22.8
"2022-09-21 07:00:00",462,69739,31.09284,"2022-09-20 12:42:21",100,"2022-09-20 07:02:06",21.32635,"2022-09-21 05:44:21",59.15449,"2022-09-20 13:54:18",1.2,1.8,2.2,2.6,5,3.2,4.6
"2022-09-22 07:00:00",463,69739,31.19357,"2022-09-21 11:30:12",100,"2022-09-21 07:00:51",20.16182,"2022-09-22 05:43:57",56.61023,"2022-09-21 11:54:15",7.400001,9.8,10.8,14.2,16.19999,15.8,15.8
"2022-09-23 07:00:00",464,69739,30.95547,"2022-09-22 13:37:03",100,"2022-09-22 16:33:48",20.46707,"2022-09-23 05:29:51",58.12885,"2022-09-22 13:42:51",9.200001,17,24.4,41.6,89.39987,65.19999,85.59998
"2022-09-24 07:00:00",465,69739,31.60719,"2022-09-23 15:54:39",100,"2022-09-23 07:00:06",21.55223,"2022-09-24 03:00:57",56.07757,"2022-09-23 16:14:54",0,0,0,0,0,0,0
"2022-09-25 07:00:00",466,69739,31.86208,"2022-09-24 12:54:18",100,"2022-09-24 07:00:36",20.70517,"2022-09-25 04:54:06",53.67677,"2022-09-24 14:19:21",6.200001,10.6,15,19.4,20.6,19.6,19.6
"2022-09-26 07:00:00",467,69739,30.3755,"2022-09-25 13:46:30",100,"2022-09-25 07:00:12",21.13251,"2022-09-25 07:00:15",64.38344,"2022-09-25 14:16:36",0,0,0,0,0,0,0.2
